nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Associação Beneficente Profeta Daniel,Ação cidadania,Sim,Não,Santa Rosa de Lima,Porto Alegre,Marmita,2.100,7,"Segunda, Terça, Quarta, Quinta, Sexta"
Associação Beneficiente Cultura Portela,Fórum fome zero,Não,Não,Santa Rosa de Lima,Porto Alegre,Marmita,560,2,Quarta
Associação Cozinha das Pretas,CUT Comunidades,Sim,Não,Santa Rosa de Lima,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,1.050,3,Quinta
Cozinha Juntos Somos Um,FESANS,Não,Não,Santa Tereza,Porto Alegre,Marmita,550,4,Quinta
Cozinha Solidária da Tia Grazi,CUT Comunidades,Sim,Não,Santa Tereza,Porto Alegre,"Marmita,Refeições coletivas",900,3,Sexta
Amje,UAMPA,Sim,Não,Santa Tereza,Porto Alegre,Marmita,650,3,Quinta
Ylê da Ayaba Iemanjá Boci,FONSANPOTMA,Não,Sim,Santo Onofre,Viamão,"Marmita,Refeições coletivas",170,7,Sexta
Comunidade Tradicional Ylê Oba Osaala,FONSANPOTMA,Sim,Não,Santo Onofre,Viamão,"Marmita,Refeições coletivas",1.100,7,Sexta
Cozinha Padre Orestes,MNLM,Não,Não,Santos Dumont,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,4,Sexta
Cozinha Staigleder,MNLM,Não,Não,Santos Dumont,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,4,Sexta
Cozinha Mauá,MNLM,Não,Não,Santos Dumont,São Leopoldo,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",600,5,Sexta
Cozinha Redmix,MNLM,Não,Não,Santos Dumont,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,4,Sexta
Cozinha Aeroclube,MNLM,Não,Não,Santos Dumont,São Leopoldo,As pessoas levam seus potes/vasilhas/pratos,600,5,Sexta
Feijão No Prato,MTD,Não,Não,São Cristóvão,Arroio dos Ratos,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,5,"Quinta, Sexta"
Casa de Xapanã e Oya,FONSANPOTMA,Não,Não,São João,Porto Alegre,Refeições coletivas,150,4,Quinta
Cozinha Comunitária Vida de Luz,Sem apadrinhamento,Não,Sim,São José,Porto Alegre,Marmita,500,6,Sexta
Associação Comunitária do Morro Sa Cruz,Fórum fome zero,Não,Não,São José,Porto Alegre,Marmita,135,2,Quarta
